a,final
KOTWALI  JHANSI ,"25.459874, 78.577116"
MAHILA THANA  BARABANKI ,"26.932470, 81.185014"
MAHILA THANA  FAIZABAD ,"26.780722, 82.141354"
SIKANDRABAD  BULANDSHAHAR ,"28.454044, 77.695599"
GRP VARANASI CANTT.  VARANASI ,"25.327922, 82.986670"
KOTWALI NAGAR  MUZAFFAR NAGAR ,"29.475652, 77.696258"
MAHILA THANA  MATHURA ,"27.475988, 77.692962"
PHAPHUND  AURAIYA ,"26.598565, 79.462153"
BAGHPAT  BAGHPAT ,"28.949902, 77.217586"
KANPUR  GRP ALLAHABAD ,"25.449902, 81.824603"
KOTWALI CHHIBRAMAU  KANNAUJ ,"27.150793, 79.494871"
MAHILA THANA  FIROZABAD ,"27.148700, 78.399375"
MAHILA THANA  LUCKNOW ,"26.857267, 80.937356"
MANKAPUR  GONDA ,"27.041714, 82.211517"
MADHOTANDA  PILIBHIT ,"28.625967, 80.123558"
AMETHI  AMETHI ,"26.312839, 82.077058"
GOMTINAGAR  LUCKNOW ,"26.854720, 80.994413"
GRP DEORIA  DEORIA ,"26.508209, 83.781959"
GRP SAHARANPUR  SAHARANPUR ,"29.962842, 77.542900"
JANAK PURI  SAHARANPUR ,"29.959016, 77.555148"
KOTWALI TIRWA  KANNAUJ ,"26.965936, 79.791974"
MAHILA THANA  CHANDAULI ,"25.290293, 83.118731"
BARAUT  BAGHPAT ,"29.104049, 77.263456"
HAZRATGANJ  LUCKNOW ,"26.874578, 80.928736"
KASNA  GAUTAM BUDH NAGAR ,"28.484082, 77.512245"
KUTUBSHER  SAHARANPUR ,"29.967466, 77.539966"
LAMBHUA  SULTANPUR ,"26.271848, 82.076930"
NEORIA  PILIBHIT ,"28.629939, 80.122518"
SINGHAWLI AHIR  BAGHPAT ,"28.956674, 77.396962"
TALKATORA  LUCKNOW ,"26.831340, 80.893518"
BAZARSHUKUL  AMETHI ,"26.468458, 81.617925"
CIVIL LINES  MORADABAD ,"28.854463, 78.760091"
DEOBAND  SAHARANPUR ,"29.694516, 77.676765"
GILAULA  SHRAVASTI ,"27.551027, 81.803019"
GOLA  KHERI ,"28.079908, 80.471859"
GRP BALLIYA  BALLIA ,"25.759344, 84.148417"
GRP MATHURA JUNCTION  MATHURA ,"27.479851, 77.674107"
PALI  HARDOI ,"27.532028, 79.842486"
PAYAGPUR  BAHRAICH ,"27.389704, 81.774199"
RATANPURI  MUZAFFAR NAGAR ,"29.272156, 77.606349"
SAHIBABAD  GHAZIABAD ,"28.673209, 77.361232"
BANNADEVI  ALIGARH ,"27.901629, 78.048008"
BHOJIPURA  BAREILLY ,"28.529467, 79.450205"
GRP AGRA CANTT  AGRA ,"27.176232, 78.015659"
KAIRANA  SHAMLI ,"29.405543, 77.210668"
KHATAULI  MUZAFFAR NAGAR ,"29.275920, 77.731758"
KOTWALI CITY  BULANDSHAHAR ,"28.407561, 77.852391"
KOTWALI DEHAT  BAHRAICH ,"27.571850, 81.592125"
BIDHUNA  AURAIYA ,"26.802588, 79.507656"
DHAMMAUR  SULTANPUR ,"26.248343, 81.926766"
GRP MAHOBA  MAHOBA ,"25.309709, 79.849151"
HANDIA  ALLAHABAD ,"25.366710, 82.192156"
ITARSI  GRP BHOPAL ,"22.608598, 77.766037"
MAHILA THANA  BALRAMPUR ,"27.427015, 82.170495"
UJHANI  BADAUN ,"27.993793, 79.006467"
ALIGANJ  BAREILLY ,"28.342186, 79.253623"
BACHHRAWAN  RAE BARELI ,"26.475509, 81.116718"
BILARI  MORADABAD ,"28.628722, 78.803710"
CIVIL LINES  MUZAFFAR NAGAR ,"29.471814, 77.701616"
FARIDABAD  GRP AMBALA CANTT ,"30.337993, 76.827887"
FIROZABAD SOUTH  FIROZABAD ,"27.149358, 78.400774"
GRP RAMPUR  RAMPUR ,"28.778817, 79.023835"
KOTWALI  PILIBHIT ,"28.631027, 79.797509"
KUDWAR  SULTANPUR ,"26.344849, 81.982166"
MAHILA THANA  HARDOI ,"27.398031, 80.135249"
MAHILA THANA  SITAPUR ,"27.572717, 80.678666"
SONAVA  SHRAVASTI ,"27.659000, 81.800605"
THAKURGANJ  LUCKNOW ,"26.873644, 80.894213"
AMROHA DEHAT  AMROHA ,"28.904129, 78.485619"
CHARTHAWAL  MUZAFFAR NAGAR ,"29.545755, 77.595320"
CHOWK  LUCKNOW ,"26.867085, 80.907082"
GUDAMBA  LUCKNOW ,"26.919910, 80.964374"
KOTWALI  SULTANPUR ,"26.267659, 82.072283"
KOTWALI  UNNAO ,"26.549387, 80.491145"
NANPARA  BAHRAICH ,"27.873969, 81.501363"
RAMALA  BAGHPAT ,"29.226567, 77.270365"
RAMNAGAR  BARABANKI ,"27.089008, 81.404397"
SHAHPUR  MUZAFFAR NAGAR ,"29.357151, 77.555893"
THAKUR DWARA  MORADABAD ,"29.195830, 78.858159"
DOGHAT  BAGHPAT ,"29.185467, 77.364240"
GRP BHATNI  DEORIA ,"26.383624, 83.922342"
