a,final
MANIKPUR  PRATAPGARH ,"25.063519, 81.099357"
MAURANIPUR  JHANSI ,"25.248342, 79.136969"
MIRAPUR  MUZAFFAR NAGAR ,"29.440891, 77.662746"
MUSAFIRKHANA  AMETHI ,"26.374506, 81.801233"
NAGINA  BIJNOR ,"29.443855, 78.432856"
NAKUR  SAHARANPUR ,"29.921221, 77.309890"
NAYAGAON  ETAH ,"27.369899, 79.245897"
NIGOHI  SHAHJAHANPUR ,"28.104256, 79.875391"
ORAI  GRP JHANSI ,"25.453457, 78.554054"
PARAUR  SHAHJAHANPUR ,"27.818165, 79.496431"
PASGAWAN  KHERI ,"27.746933, 79.890060"
PATIALI  KASGANJ ,"27.688293, 78.999630"
PEEPIGANJ  GORAKHPUR ,"26.929976, 83.298081"
RANIGANJ  PRATAPGARH ,"25.801359, 82.040727"
SADAR BAZAR  MEERUT ,"28.993430, 77.702434"
SAFDARGANJ  BARABANKI ,"27.010054, 81.456867"
SAGAR  GRP JABALPUR ,"23.134671, 79.872260"
SAHAYAL  AURAIYA ,"26.667666, 79.642774"
SAINI  KAUSHAMBI ,"25.666408, 81.327244"
SAKEET  ETAH ,"27.450102, 78.774773"
SAMBHAL  SAMBHAL ,"28.586732, 78.580185"
SARAI ROHILLA STATION  C&R ,"28.662977, 77.185239"
SARSAWA  SAHARANPUR ,"30.018212, 77.401945"
SHIKOHABAD  FIROZABAD ,"27.110555, 78.590910"
THANA BHAWAN  SHAMLI ,"29.591934, 77.423127"
TULSIPUR  BALRAMPUR ,"27.524341, 82.418965"
A.J.K.  SATNA ,"26.570935, 82.205694"
AMBALA  GRP AMBALA CANTT ,"30.375968, 76.783609"
BABRI  SHAMLI ,"29.492176, 77.429518"
BABURI  CHANDAULI ,"25.174260, 83.189703"
BARGAON  SAHARANPUR ,"29.709323, 77.530089"
BEHAT  SAHARANPUR ,"30.172140, 77.618366"
BHITI  AMBEDKAR NAGAR ,"26.434305, 82.327170"
BHOJPUR  MORADABAD ,"28.952099, 78.831593"
BHORA KALAN  MUZAFFAR NAGAR ,"29.388971, 77.447670"
BILASPUR  RAMPUR ,"28.887317, 79.268750"
CHAKIYA  CHANDAULI ,"25.048978, 83.220859"
CYBER CRIME POLICE STATION  GAUTAM BUDH NAGAR ,"28.591760, 77.317213"
DELHI GATE  ALIGARH ,"27.894643, 78.041774"
DEORIYA KALAN  PILIBHIT ,"28.368325, 79.975568"
DHANAPUR  CHANDAULI ,"25.186560, 83.351777"
DIDARGANJ  AZAMGARH ,"25.993499, 82.771790"
FARIDPUR  BAREILLY ,"28.212486, 79.542003"
GAJNER  KANPUR DEHAT ,"26.288087, 80.057467"
GAZIPUR  LUCKNOW ,"26.875294, 80.982454"
GRP BIJNOR  BIJNOR ,"29.385864, 78.146501"
GRP GHAZIPUR  GHAZIPUR ,"25.581264, 83.571884"
GRP LUDHIANA  GOVT.RLY POLICE ,"30.906774, 75.847286"
GULRIHA  GORAKHPUR ,"26.533675, 83.284976"
HAFIZGANJ  BAREILLY ,"28.493144, 79.579693"
HAIDER GARH  BARABANKI ,"26.604430, 81.365227"
HASANGANJ  UNNAO ,"26.774680, 80.634810"
ITIATHOK  GONDA ,"27.291257, 82.029398"
JAHANGIRPUR  BULANDSHAHAR ,"28.179368, 77.703895"
JARCHA  GAUTAM BUDH NAGAR ,"28.570775, 77.652086"
KAKRAULI  MUZAFFAR NAGAR ,"29.391598, 77.924738"
KAMALGANJ  FATEHGARH ,"27.257853, 79.629518"
KANKAR KHERA  MEERUT ,"29.025193, 77.687087"
KHAGA  FATEHPUR ,"25.774328, 81.104696"
KHEKRA  BAGHPAT ,"28.866826, 77.270172"
KOIRAUNA  BHADOHI ,"25.310754, 82.280668"
KOPAGANJ  MAU ,"26.024680, 83.568431"
KOTWALI  BALLIA ,"25.765727, 84.150415"
KURARA  HAMIRPUR ,"25.981596, 80.029297"
LAHARPUR  SITAPUR ,"27.710427, 80.906690"
LALPURA  HAMIRPUR ,"25.867583, 80.048144"
MANDHATA  PRATAPGARH ,"25.790565, 81.876330"
MOHMADABAD  FATEHGARH ,"27.360988, 79.630556"
NADIGAON  JALAUN ,"26.106901, 79.024057"
NAGPHANI  MORADABAD ,"28.844418, 78.780004"
NAJIBABAD  BIJNOR ,"29.614364, 78.354323"
NOIDA SECTOR-20  GAUTAM BUDH NAGAR ,"28.585149, 77.333576"
NOIDA SECTOR-58  GAUTAM BUDH NAGAR ,"28.604048, 77.361501"
RATH  HAMIRPUR ,"25.586017, 79.552956"
SAFIPUR  UNNAO ,"26.740972, 80.353195"
SAKRAULI  ETAH ,"27.398095, 78.311642"
SALEMPUR  BULANDSHAHAR ,"28.322236, 77.945066"
SARAI AKIL  KAUSHAMBI ,"25.383161, 81.527146"
SARAIMEER  AZAMGARH ,"26.031192, 82.922259"
SATRIKHA  BARABANKI ,"26.860208, 81.197559"
SHADIABAD  GHAZIPUR ,"25.650808, 83.755284"
SIKANDARPUR VAISH  KASGANJ ,"27.763326, 79.066781"
TIKONIA  KHERI ,"28.383366, 80.967013"
UNNAO  GRP LUCKNOW ,"26.831004, 80.925294"
AKBARPUR  GRP LUCKNOW ,"27.085561, 80.917504"
ALLAHGANJ  SHAHJAHANPUR ,"27.541952, 79.690425"
ATARIA  SITAPUR ,"27.172196, 80.878573"
ATRAULI  ALIGARH ,"27.173859, 80.655664"
BADOSARAI  BARABANKI ,"27.015336, 81.453270"
BALDEO  MATHURA ,"27.413647, 77.820799"
BARAUNI  RLY KATIHAR ,"25.548236, 87.565262"
BASAI MOHAMMAD PUR  FIROZABAD ,"27.092241, 78.409426"
BENIGANJ  HARDOI ,"27.293596, 80.446698"
BHADOKHAR  RAE BARELI ,"26.166564, 81.284850"
BISRAKH  GAUTAM BUDH NAGAR ,"28.580593, 77.440810"
CHANDI NAGAR  BAGHPAT ,"28.941566, 77.232956"
CHIRGAON  JHANSI ,"25.577777, 78.818898"
DANKAUR  GAUTAM BUDH NAGAR ,"28.355339, 77.554680"
DEBIAPUR  AURAIYA ,"26.644627, 79.559558"
DHANARI  SAMBHAL ,"28.330475, 78.514863"
DUDDHI  SONBHADRA ,"24.215352, 83.235417"
GHUNGHTER  BARABANKI ,"27.159366, 80.997484"
GRP FIROZABAD  FIROZABAD ,"27.147697, 78.385875"
GRP MIRZAPUR  MIRZAPUR ,"25.136163, 82.567792"
HASTINAPUR  MEERUT ,"29.160309, 78.002309"
HATHIGAWAN  PRATAPGARH ,"25.637347, 81.553338"
HOLA GARH  ALLAHABAD ,"25.643349, 81.775971"
JAGATPUR  RAE BARELI ,"26.057420, 81.264313"
JALALABAD  SHAHJAHANPUR ,"27.729210, 79.659734"
JAMUNAPAR  MATHURA ,"27.498105, 77.726440"
JHANGHA  GORAKHPUR ,"26.652913, 83.504169"
JHANGIRABAD  BARABANKI ,"26.982622, 81.243288"
KALYANPUR  FATEHPUR ,"26.074217, 80.638940"
KARAUNDI KALAN  SULTANPUR ,"26.055483, 82.425963"
KASGANJ  KASGANJ ,"27.811755, 78.647438"
KHARELA  MAHOBA ,"25.545190, 79.811897"
KHODA  GHAZIABAD ,"28.609058, 77.348117"
KHURJA NAGAR  BULANDSHAHAR ,"28.253159, 77.858655"
KHUTAR  SHAHJAHANPUR ,"28.209334, 80.270543"
KOSIKALAN  MATHURA ,"27.789539, 77.441726"
KOTWALI  MORADABAD ,"28.837740, 78.774247"
KOTWALI  SHAHJAHANPUR ,"27.866037, 79.910255"
KOTWALI DEHAT  BALRAMPUR ,"27.444994, 82.161155"
KOTWALI RUDAULI  FAIZABAD ,"26.748835, 81.749061"
KRISHNANAGAR  LUCKNOW ,"26.802427, 80.889462"
LINEPAR  FIROZABAD ,"27.147352, 78.381329"
LINK ROAD  GHAZIABAD ,"28.671445, 77.362793"
MAHILA THANA  BIJNOR ,"29.369767, 78.133441"
MAHILA THANA  UNNAO ,"26.558503, 80.481738"
MAHMUDABAD  SITAPUR ,"27.298985, 81.129056"
MAKHI  UNNAO ,"26.668488, 80.460789"
MALIHABAD  LUCKNOW ,"26.920244, 80.710305"
MAWAI  FAIZABAD ,"26.725350, 81.569080"
MURTIHA  BAHRAICH ,"28.099900, 81.310493"
NAGRAM  LUCKNOW ,"26.619076, 81.138770"
NARKHI  FIROZABAD ,"27.294316, 78.408748"
NEEMGAON  KHERI ,"27.922909, 80.583744"
PAHASU  BULANDSHAHAR ,"28.172684, 78.062160"
PANWARI  MAHOBA ,"25.432074, 79.468446"
RAJEPUR  FATEHGARH ,"27.478120, 79.660492"
RAMCHANDRA MISSON  SHAHJAHANPUR ,"27.966418, 79.745592"
RAMPUR  JAUNPUR ,"25.485417, 82.590169"
ROBERTSGANJ  SONBHADRA ,"24.678402, 83.069557"
RUPAI DIHA  BAHRAICH ,"28.014577, 81.598528"
SARAILAKHANSI  MAU ,"25.970009, 83.559454"
SAROJININAGAR  LUCKNOW ,"26.754443, 80.867814"
SHIKARPUR  BULANDSHAHAR ,"28.274656, 78.007279"
SHIVPUR  VARANASI ,"25.359396, 82.952738"
SIDHAULI  SITAPUR ,"27.282871, 80.841245"
SIKANDRA RAO  HATHRAS ,"27.688617, 78.381937"
SIKARIGANJ  GORAKHPUR ,"26.504278, 83.201684"
SIPRI BAZAR  JHANSI ,"25.460221, 78.547161"
SORON  KASGANJ ,"27.890026, 78.746406"
SURSA  HARDOI ,"27.289125, 80.128328"
TALGAON  SITAPUR ,"27.612993, 80.854956"
TIWARIPUR  GORAKHPUR ,"26.264394, 83.594174"
UNCHAHAR  RAE BARELI ,"25.907934, 81.303471"
VIBHUTI KHAND  LUCKNOW ,"26.869785, 81.010322"
VRINDAVAN  MATHURA ,"27.570889, 77.675340"
WAZIRGANJ  LUCKNOW ,"26.857046, 80.919342"
A.J.K.  REWA ,"24.540249, 81.306510"
AHMEDGARH  BULANDSHAHAR ,"28.238678, 78.115395"
ARNIYA  BULANDSHAHAR ,"28.134962, 77.916874"
ATRAULI  HARDOI ,"27.176301, 80.661331"
BAHSUMA  MEERUT ,"29.205292, 77.970616"
BANDA  SHAHJAHANPUR ,"28.241952, 80.095300"
BANIYATHER  SAMBHAL ,"28.578446, 78.498365"
BARAUNI  BEGUSARAI ,"25.468885, 85.991825"
BARHAPUR  BIJNOR ,"29.527103, 78.532001"
BARNAHAL  MAINPURI ,"27.076809, 78.846699"
BHAGATPUR  MORADABAD ,"28.930225, 78.845256"
BHARTHANA  ETAWAH ,"26.754225, 79.222891"
BHUSAWAL  RAILWAY NAGPUR ,"21.152376, 79.088104"
CANTT  LUCKNOW ,"26.820358, 80.945245"
CHAMAN GANJ  KANPUR CITY ,"26.468236, 80.334445"
CHANDA  SULTANPUR ,"26.063143, 82.310987"
CHANDPA  HATHRAS ,"27.525775, 78.041117"
CIVIL LINES  RAMPUR ,"28.783044, 79.026050"
DADRI  GAUTAM BUDH NAGAR ,"28.558805, 77.559122"
DARAGANJ  ALLAHABAD ,"25.447651, 81.883096"
DOHARIGHAT  MAU ,"26.271661, 83.513009"
FARAH  MATHURA ,"27.322057, 77.761327"
GAZIPUR  FATEHPUR ,"25.537066, 81.072051"
GOVIND NAGAR  MATHURA ,"27.515743, 77.664665"
GRP BAREILLY CITY  BAREILLY ,"28.356479, 79.403366"
HAJIPUR SADAR  VAISHALI ,"25.705095, 85.218932"
HARPUR BUDHAT  GORAKHPUR ,"26.731657, 83.174065"
HEEMPUR DEEPA  BIJNOR ,"29.227986, 78.220602"
INCHAULI  MEERUT ,"29.047016, 77.810476"
INDUSTRIAL AREA  RAE BARELI ,"26.254471, 81.253454"
JAGNER  AGRA ,"26.866735, 77.605008"
JAIDPUR  BARABANKI ,"26.831070, 81.328433"
JAITIPUR  SHAHJAHANPUR ,"28.004281, 79.579663"
JAMALPUR  MIRZAPUR ,"25.159453, 83.087473"
JARWAL ROAD  BAHRAICH ,"27.120686, 81.541643"
KALINJAR  BANDA ,"24.998142, 80.484952"
KALYANPUR  KANPUR CITY ,"26.514185, 80.250503"
KARCHHANA  ALLAHABAD ,"25.275905, 81.951216"
KATRA  SHAHJAHANPUR ,"28.037923, 79.675918"
KHAJNI  GORAKHPUR ,"26.655538, 83.250771"
KHANDWA  GRP BHOPAL ,"21.822612, 76.353462"
KISHNI  MAINPURI ,"27.025431, 79.262302"
KOTWALI  DEORIA ,"26.503074, 83.784664"
KOTWALI  MAINPURI ,"27.233244, 79.029077"
KOTWALI  RAMPUR ,"28.807626, 79.023548"
KOTWALI AYODHYA  FAIZABAD ,"26.799766, 82.204873"
KOTWALI CITY  BIJNOR ,"29.379843, 78.143181"
KOTWALI CITY  MIRZAPUR ,"25.152728, 82.585662"
KOTWALI DEHAT  BIJNOR ,"29.426982, 78.356299"
KOTWALI LALITPUR  LALITPUR ,"24.693054, 78.415026"
KOTWALI SADAR  KHERI ,"27.947647, 80.780116"
KUNDA  PRATAPGARH ,"25.722569, 81.518083"
KUNWAR GAON  BADAUN ,"28.175530, 79.147412"
LAHCHURA  JHANSI ,"25.503564, 79.201660"
LAL KURTI  MEERUT ,"28.998658, 77.707855"
LALGANJ  MIRZAPUR ,"25.018181, 82.363730"
LODHA  ALIGARH ,"27.906820, 77.971473"
MAHILA THANA  HAMIRPUR ,"25.965066, 80.142877"
MAHILA THANA  MAINPURI ,"27.232929, 79.029095"
MAHILA THANA (SAFAI)  ETAWAH ,"26.954018, 78.955779"
MAHRAJGANJ  AZAMGARH ,"26.254758, 83.120281"
MAKKHANPUR  FIROZABAD ,"27.125461, 78.488571"
MALHIPUR  SHRAVASTI ,"27.821564, 81.766066"
MALLAWAN  HARDOI ,"27.041852, 80.164802"
MATSENA  FIROZABAD ,"27.076899, 78.464208"
MEDICAL COLLEGE  MEERUT ,"28.986106, 77.706855"
MODI NAGAR  GHAZIABAD ,"28.831075, 77.571344"
MOHAMMADABAD GOHANA  MAU ,"26.039132, 83.380051"
MURSAN  HATHRAS ,"27.570514, 77.936878"
NAINI  ALLAHABAD ,"25.394537, 81.873510"
NANAUTA  SAHARANPUR ,"29.713891, 77.417622"
PARASPUR  GONDA ,"27.035102, 81.783158"
PATNA  RLY PATNA ,"25.614266, 85.149860"
PIHANI  HARDOI ,"27.623350, 80.201269"
PURWA  UNNAO ,"26.458857, 80.776180"
RAJPURA  SAMBHAL ,"28.340199, 78.389136"
RAMRAJ  MUZAFFAR NAGAR ,"29.252743, 78.006277"
RAUSA  SITAPUR ,"27.545730, 81.218564"
RIJOR  ETAH ,"27.417909, 78.707041"
RUDHAULI  BASTI ,"26.817684, 82.752215"
S.I.T  LUCKNOW ,"26.778258, 80.855843"
SADAR BAZAR  JHANSI ,"25.438971, 78.585389"
SAMTHAR  JHANSI ,"25.843620, 78.904238"
SASNI GATE  ALIGARH ,"27.865898, 78.067844"
SHAHGANJ  AGRA ,"27.180002, 77.984134"
SIDDHARTHNAGAR  SIDDHARTH NAGAR ,"27.298635, 83.093484"
SONEPUR  RLY MUJAFFARPUR ,"28.035328, 79.970627"
SRINAGAR  MAHOBA ,"25.182415, 79.785033"
SUBEHA  BARABANKI ,"26.633008, 81.499511"
SWAAR  RAMPUR ,"28.815780, 79.016402"
TRONICA CITY  GHAZIABAD ,"28.783166, 77.265869"
URUWA BAZAR  GORAKHPUR ,"26.451622, 83.259437"
VIKASNAGAR  LUCKNOW ,"26.896952, 80.963550"
A.J.K. KATNI  KATNI ,"23.831624, 80.395414"
AGRA CANTT  GRP LUCKNOW ,"27.176041, 78.015702"
ALAMBAGH  LUCKNOW ,"26.809934, 80.901600"
ALIGANJ  LUCKNOW ,"26.900302, 80.950775"
ASOHA  UNNAO ,"26.585187, 80.835364"
AUNG  FATEHPUR ,"26.154530, 80.570575"
AWAGARH  ETAH ,"27.442477, 78.485062"
BALENI  BAGHPAT ,"28.952874, 77.453320"
BARA  ALLAHABAD ,"25.257084, 81.746535"
BARABNKI  GRP LUCKNOW ,"26.923396, 81.189655"
BARUASAGAR  JHANSI ,"25.376020, 78.734737"
BASAUNI  AGRA ,"26.871692, 78.593424"
BHIMSEN  GRP JHANSI ,"25.503879, 78.668364"
BIHARIGARH  SAHARANPUR ,"30.100914, 77.829588"
BINA  SAGAR ,"24.182568, 78.210086"
CHANKYA PURI  NEW DELHI ,"28.597782, 77.191877"
CHAURI  BHADOHI ,"25.386219, 82.583124"
CHHAJLET  MORADABAD ,"28.832350, 78.780920"
CHILUWATAL  GORAKHPUR ,"26.803640, 83.361327"
CHIRAIYAKOT  MAU ,"25.882563, 83.333273"
CIVIL LINES  ETAWAH ,"26.787925, 79.013880"
DAKSHINTOLA  MAU ,"25.958035, 83.545788"
DILARI  MORADABAD ,"29.044183, 78.750687"
DILDAR NAGAR  GHAZIPUR ,"25.428724, 83.671166"
EKAUNA  DEORIA ,"26.416316, 83.507316"
FATEHPUR CHAURASI  UNNAO ,"26.794799, 80.272925"
FAZALGANJ  KANPUR CITY ,"26.459205, 80.307617"
FURSATGANJ  AMETHI ,"26.255234, 81.370862"
GAISRI  BALRAMPUR ,"27.530044, 82.545513"
GALSHEED  MORADABAD ,"28.830881, 78.781274"
GANJ  RAMPUR ,"28.810856, 79.018994"
GARAUTHA  JHANSI ,"25.573646, 79.297299"
GAURA CHAURAHA  BALRAMPUR ,"27.405611, 82.411250"
GAUTAMPALLI  LUCKNOW ,"26.837650, 80.953332"
GAYA  RLY PATNA ,"25.603579, 85.137045"
GEORGE TOWN  ALLAHABAD ,"25.451102, 81.853842"
GHIROR  MAINPURI ,"27.189792, 78.802851"
GONDA  GRP GORAKHPUR ,"27.155822, 81.977138"
GRP MEERUT CITY  MEERUT ,"28.979137, 77.675520"
GUSAIGANJ  SULTANPUR ,"26.771072, 81.110176"
GWALIOR-NG  GRP BHOPAL ,"26.234352, 78.189549"
HAPURNAGAR  HAPUR ,"28.732130, 77.780501"
HARDUAGANJ  ALIGARH ,"27.944883, 78.156608"
HARRAIYA  BASTI ,"26.794491, 82.472209"
HASANGANJ  LUCKNOW ,"26.868252, 80.935640"
HIGHWAY  MATHURA ,"27.503881, 77.697226"
INDIRANAGAR  LUCKNOW ,"26.892326, 81.003631"
ISANAGAR  KHERI ,"27.899510, 81.202955"
JAGADHRI CITY  YAMUNA NAGAR ,"30.144490, 77.249957"
JAITPUR  AMBEDKAR NAGAR ,"26.220977, 82.819177"
JAKHAURA  LALITPUR ,"24.570259, 78.769020"
JALALPUR  AMBEDKAR NAGAR ,"26.310894, 82.740370"
JAMO  AMETHI ,"26.258864, 81.686871"
JARIA  HAMIRPUR ,"25.779672, 79.601576"
JASIDIH  RAIL DHANBAD ,"24.515265, 86.643917"
JASRANA  FIROZABAD ,"27.236230, 78.652270"
JIGANA  MIRZAPUR ,"25.047931, 83.060995"
KAKARWAI  JHANSI ,"25.669686, 79.352994"
KANDHLA  SHAMLI ,"29.323887, 77.271089"
KANT  SHAHJAHANPUR ,"27.810193, 79.793143"
KANTH  MORADABAD ,"29.059245, 78.628936"
KARARI  KAUSHAMBI ,"25.454093, 81.425123"
KAYAMGANJ  FATEHGARH ,"27.370091, 79.620866"
KHAIRABAD  SITAPUR ,"27.532454, 80.750993"
KHAIRIGHAT  BAHRAICH ,"27.589991, 81.610745"
KHAJURIA  RAMPUR ,"26.395134, 84.769888"
KHAKHRERU  FATEHPUR ,"25.611596, 81.133261"
KHANDASA  FAIZABAD ,"26.603533, 81.793341"
KHEJURI  BALLIA ,"25.959849, 84.070863"
KHERA RATHORE  AGRA ,"26.797200, 78.617456"
KOTWALI  AZAMGARH ,"26.063130, 83.185813"
KOTWALI  MATHURA ,"27.500190, 77.682189"
KOTWALI  VARANASI ,"25.322639, 83.020228"
KOTWALI JALAUN  JALAUN ,"26.138401, 79.334137"
KOTWALI NAGAR  ALIGARH ,"27.879855, 78.067224"
KOTWALI NAGAR  BANDA ,"25.471642, 80.332474"
KOTWALI NAGAR  FAIZABAD ,"26.785933, 82.153392"
KURRA  MAINPURI ,"27.016696, 79.093153"
KYDGANJ  ALLAHABAD ,"25.432498, 81.853222"
LAL GANJ  BASTI ,"26.657937, 82.818698"
LALAULI  FATEHPUR ,"25.813451, 80.539667"
LALGANJ  PRATAPGARH ,"25.932749, 81.703751"
MADHOGANJ  HARDOI ,"27.115313, 80.152316"
MAHARAJ GANJ  JAUNPUR ,"25.877522, 82.342325"
MAHARAJGANJ TARAI  BALRAMPUR ,"27.543892, 82.271657"
MAHILA THANA  BALLIA ,"25.794023, 84.173516"
MAHILA THANA  FATEHGARH ,"27.365552, 79.630901"
MAHILA THANA  VARANASI ,"25.320572, 83.013332"
MAHOBKANTH  MAHOBA ,"25.348537, 79.407108"
MAHRAJGANJ  FAIZABAD ,"26.641274, 82.335861"
MAIRWAN  SIWAN ,"26.240537, 84.146562"
MAJHGAWAN  HAMIRPUR ,"25.620006, 79.412514"
MALIPUR  AMBEDKAR NAGAR ,"26.283098, 82.648200"
MANIKPUR  GRP JHANSI ,"25.068262, 81.100087"
MAUDAHA  HAMIRPUR ,"25.684376, 80.113867"
MEHNAJPUR  AZAMGARH ,"25.673266, 83.115520"
MILAK  RAMPUR ,"28.613308, 79.167910"
MILAK KHANAM  RAMPUR ,"28.962181, 79.149595"
MIRHACHI  ETAH ,"27.729568, 78.624773"
MIRZAPUR  SAHARANPUR ,"30.257804, 77.626219"
MISHRIT  SITAPUR ,"27.439888, 80.532473"
MITAULI  KHERI ,"27.819808, 80.455521"
MOOSA NAGAR  KANPUR DEHAT ,"26.170325, 79.970405"
MORADABAD  GRP MORADABAD ,"28.838806, 78.762348"
MOTH  JHANSI ,"25.727230, 78.962232"
MUTTHIGANJ  ALLAHABAD ,"25.428781, 81.842311"
MUZAFFARPUR  RLY MUJAFFARPUR ,"26.122106, 85.378644"
NAWABGANJ  ALLAHABAD ,"25.570854, 81.738628"
NIBOHARA  AGRA ,"26.957154, 78.253780"
PAKARI  BALLIA ,"25.770461, 84.089977"
PALIA  KHERI ,"28.436943, 80.574456"
PILUA  ETAH ,"27.612979, 78.571647"
POONCH  JHANSI ,"25.821680, 79.044876"
RAJGHAT  GORAKHPUR ,"26.748055, 83.351945"
RAMGAON  BAHRAICH ,"27.621404, 81.521891"
RAMGHAT  BULANDSHAHAR ,"28.148022, 78.433076"
RANIPUR  MAU ,"25.916592, 83.427647"
RAUNAPAR  AZAMGARH ,"26.283343, 83.285864"
RAYA  MATHURA ,"27.557592, 77.790329"
SADAR BAZAR  MATHURA ,"27.492499, 77.696285"
SADAR DHOLPUR  DHOLPUR ,"28.703806, 78.066607"
SAHARANPUR  GRP MORADABAD ,"29.953665, 77.524497"
SAHJANWA  GORAKHPUR ,"26.755801, 83.220620"
SAKRAR  JHANSI ,"25.361233, 78.891832"
SAMASPUR  AMBEDKAR NAGAR ,"26.372075, 82.706330"
SARNATH  VARANASI ,"25.376573, 83.027087"
SARPATAHA  JAUNPUR ,"26.092471, 82.533003"
SATNA KOTWALI  SATNA ,"26.570743, 82.202518"
SHIVRATANGANJ  AMETHI ,"26.500861, 81.392427"
SIDHPURA  KASGANJ ,"27.634531, 78.869777"
SIKANDERPUR  BALLIA ,"26.068238, 83.949988"
SOHRA MAU  UNNAO ,"26.641855, 80.761500"
TALBEHAT  LALITPUR ,"25.039288, 78.428875"
TARWA  AZAMGARH ,"25.749525, 83.187318"
TEHRAULI  JHANSI ,"25.535389, 78.995865"
THANGAON  SITAPUR ,"27.479149, 81.245023"
TRANSPORT NAGAR  MEERUT ,"28.969352, 77.681666"
TUNDLA  FIROZABAD ,"27.216013, 78.237637"
UJJAIN  GRP INDORE ,"23.180018, 75.789672"
USAWAN  BADAUN ,"27.809901, 79.347159"
USHARAHAR  ETAWAH ,"26.955027, 79.291063"
VINDHYACHAL  MIRZAPUR ,"25.159084, 82.503672"
WINDHAM GANJ  SONBHADRA ,"24.258284, 83.396945"
ADALHAT  MIRZAPUR ,"25.129336, 83.035033"
AFZALGARH  BIJNOR ,"29.392044, 78.675243"
AHAR  BULANDSHAHAR ,"28.465879, 78.248920"
AIT  JALAUN ,"25.895016, 79.245758"
AJITMAL  AURAIYA ,"26.568964, 79.311584"
AKRABAD  ALIGARH ,"27.805857, 78.271821"
ALLAU  MAINPURI ,"27.182865, 79.126430"
AMARIA  PILIBHIT ,"28.750952, 79.729779"
ANTOO  PRATAPGARH ,"26.057449, 81.902311"
ASIWAN  UNNAO ,"26.802344, 80.479100"
AURANGABAD  BULANDSHAHAR ,"28.499979, 77.958051"
AYANA  AURAIYA ,"26.461583, 79.344919"
BABUGARH  HAPUR ,"28.723787, 77.846960"
BABUPURWA  KANPUR CITY ,"26.438427, 80.343513"
BADAGAON  JHANSI ,"25.476094, 78.714981"
BAH  AGRA ,"26.869931, 78.594325"
BAHJOI  SAMBHAL ,"28.391548, 78.624602"
BAJARIA  KANPUR CITY ,"26.473579, 80.330982"
BANDA  GRP JHANSI ,"25.477785, 80.335018"
BARASAGWAR  UNNAO ,"26.240204, 80.656830"
BAREILLY JUNCTION  GRP MORADABAD ,"28.379291, 79.409085"
BARLA  ALIGARH ,"27.911495, 78.321265"
BELGHAT  GORAKHPUR ,"26.703113, 83.380632"
BHALUANI  DEORIA ,"26.359354, 83.775207"
BHARATPUR  GRP AJMER ,"27.236610, 77.488838"
BHATNI  DEORIA ,"26.379162, 83.937019"
BHAWANIGANJ  SIDDHARTH NAGAR ,"27.144920, 82.529501"
BHOJPUR  GHAZIABAD ,"28.802648, 77.630815"
BHUSAWAL CITY  JALGAON ,"21.047131, 75.791310"
BIGHAPUR  UNNAO ,"26.352401, 80.665785"
BILGRAM  HARDOI ,"27.179531, 80.035458"
C.B.N  VARANASI ,"25.319808, 82.967074"
CANTT  FAIZABAD ,"26.787621, 82.129520"
CHAKERI  KANPUR CITY ,"26.402738, 80.413819"
CHARWA  KAUSHAMBI ,"25.492041, 81.578428"
CIVIL LINES  ALLAHABAD ,"25.457510, 81.836910"
COLONALGANJ  ALLAHABAD ,"25.458072, 81.858611"
DANAPUR  RLY PATNA ,"25.591258, 85.042424"
DAUKI  AGRA ,"27.076252, 78.182517"
DEEH  RAE BARELI ,"26.143077, 81.409762"
DEVRAHAT  KANPUR DEHAT ,"26.125340, 79.867468"
DHANAURA  AMROHA ,"28.961137, 78.256903"
DHAULANA  HAPUR ,"28.634840, 77.647373"
DHINA  CHANDAULI ,"25.344864, 83.414023"
DUDHARA  SANT KABEER NAGAR ,"26.896393, 82.950467"
EKA  FIROZABAD ,"27.385640, 78.608043"
ERACH  JHANSI ,"25.789303, 79.088978"
EXPRESSWAY  GAUTAM BUDH NAGAR ,"27.830009, 77.727271"
FARIDABAD CENTRAL  FARIDABAD ,"28.390431, 77.325684"
FATANPUR  PRATAPGARH ,"25.731231, 82.126064"
FATEHGANJ  BANDA ,"25.104175, 80.673054"
GANDHI PARK  ALIGARH ,"27.886330, 78.074367"
GANGAGHAT  UNNAO ,"26.502728, 80.378356"
GARHMUKTESWAR  HAPUR ,"28.788881, 78.090762"
GAURIGANJ  AMETHI ,"26.210170, 81.680964"
GHOORPUR  ALLAHABAD ,"25.312078, 81.818106"
GHORAWAL  SONBHADRA ,"24.754696, 82.786451"
GOSAINGANJ  FAIZABAD ,"26.572733, 82.380853"
GREATER NOIDA  GAUTAM BUDH NAGAR ,"28.530202, 77.515351"
GRP AMRITSAR  GOVT.RLY POLICE ,"31.634747, 74.857859"
GRP BAHRAICH  BAHRAICH ,"27.581849, 81.607728"
GRP BHEEMSEN  KANPUR CITY ,"26.420255, 80.219121"
GRP BULANDSHEHER  BULANDSHAHAR ,"28.409065, 77.848542"
GRP HATHRAS CITY  HATHRAS ,"27.599858, 78.054383"
GRP JAMMU  RAILWAYS JAMMU ,"32.738772, 74.875419"
GRP KATHGODAM  NAINITAL ,"29.268647, 79.543745"
