"locs","dowry","awps","ps_loc_1","ps_loc_2"
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"SC/ST PS Arariya",0,0,26.136523,87.466275
"Bausi PS Arariya",0,0,25.991745,87.356809
"Araria PS Arariya",1,0,26.129979,87.45645
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Mahila PS Arariya",0,1,26.134085,87.464223
"Forbesganj PS Arariya",1,0,26.301812,87.261871
"Araria PS Arariya",0,0,26.129979,87.45645
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Jogbani PS Arariya",0,0,26.399217,87.259386
"Bhargama PS Arariya",1,0,26.054822,87.121237
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Mahila PS Arariya",1,1,26.134085,87.464223
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Forbesganj PS Arariya",1,0,26.301812,87.261871
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Araria PS Arariya",0,0,26.129979,87.45645
"Araria PS Arariya",0,0,26.129979,87.45645
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Araria PS Arariya",1,0,26.129979,87.45645
"Palasi PS Arariya",1,0,26.238863,87.564661
"Palasi PS Arariya",0,0,26.238863,87.564661
"Mahila PS Arariya",1,1,26.134085,87.464223
"Mahila PS Arariya",1,1,26.134085,87.464223
"Palasi PS Arariya",0,0,26.238863,87.564661
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Araria PS Arariya",0,0,26.129979,87.45645
"Araria PS Arariya",0,0,26.129979,87.45645
"Araria PS Arariya",0,0,26.129979,87.45645
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Tarabari PS Arariya",1,0,26.284812,87.448723
"Tarabari PS Arariya",1,0,26.284812,87.448723
"Palasi PS Arariya",0,0,26.238863,87.564661
"Palasi PS Arariya",0,0,26.238863,87.564661
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Mahila PS Arariya",0,1,26.134085,87.464223
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Bausi PS Arariya",0,0,25.991745,87.356809
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"SC/ST PS Arariya",0,0,26.136523,87.466275
"Sikti PS Arariya",0,0,26.362945,87.526658
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Bausi PS Arariya",0,0,25.991745,87.356809
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Jogbani PS Arariya",0,0,26.399217,87.259386
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Forbesganj PS Arariya",1,0,26.301812,87.261871
"Bausi PS Arariya",0,0,25.991745,87.356809
"Bausi PS Arariya",0,0,25.991745,87.356809
"Jogbani PS Arariya",0,0,26.399217,87.259386
"Araria PS Arariya",0,0,26.129979,87.45645
"Forbesganj PS Arariya",1,0,26.301812,87.261871
"Forbesganj PS Arariya",1,0,26.301812,87.261871
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Mahila PS Arariya",0,1,26.134085,87.464223
"Forbesganj PS Arariya",1,0,26.301812,87.261871
"SC/ST PS Arariya",0,0,26.136523,87.466275
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Mahila PS Arariya",0,1,26.134085,87.464223
"Jogbani PS Arariya",0,0,26.399217,87.259386
"Jogbani PS Arariya",1,0,26.399217,87.259386
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Araria PS Arariya",0,0,26.129979,87.45645
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Araria PS Arariya",0,0,26.129979,87.45645
"SC/ST PS Arariya",0,0,26.136523,87.466275
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Araria PS Arariya",0,0,26.129979,87.45645
"Araria PS Arariya",0,0,26.129979,87.45645
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Palasi PS Arariya",0,0,26.238863,87.564661
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Bausi PS Arariya",0,0,25.991745,87.356809
"Tarabari PS Arariya",1,0,26.284812,87.448723
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Palasi PS Arariya",0,0,26.238863,87.564661
"Araria PS Arariya",0,0,26.129979,87.45645
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Araria PS Arariya",1,0,26.129979,87.45645
"Araria PS Arariya",0,0,26.129979,87.45645
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Sikti PS Arariya",0,0,26.362945,87.526658
"Araria PS Arariya",0,0,26.129979,87.45645
"Sikti PS Arariya",0,0,26.362945,87.526658
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Fulkaha PS Arariya",0,0,26.395232,87.13591
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Palasi PS Arariya",0,0,26.238863,87.564661
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Bausi PS Arariya",0,0,25.991745,87.356809
"Palasi PS Arariya",0,0,26.238863,87.564661
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Palasi PS Arariya",0,0,26.238863,87.564661
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Jogbani PS Arariya",0,0,26.399217,87.259386
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Bausi PS Arariya",0,0,25.991745,87.356809
"Palasi PS Arariya",0,0,26.238863,87.564661
"Palasi PS Arariya",0,0,26.238863,87.564661
"Bausi PS Arariya",0,0,25.991745,87.356809
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Bausi PS Arariya",0,0,25.991745,87.356809
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Araria PS Arariya",0,0,26.129979,87.45645
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Palasi PS Arariya",0,0,26.238863,87.564661
"Araria PS Arariya",0,0,26.129979,87.45645
"Araria PS Arariya",0,0,26.129979,87.45645
"Araria PS Arariya",0,0,26.129979,87.45645
"Araria PS Arariya",0,0,26.129979,87.45645
"Araria PS Arariya",0,0,26.129979,87.45645
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Bausi PS Arariya",0,0,25.991745,87.356809
"Jokihat Ps Arariya",1,0,26.139316,87.612514
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Tarabari PS Arariya",0,0,26.284812,87.448723
"Sikti PS Arariya",0,0,26.362945,87.526658
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Araria PS Arariya",0,0,26.129979,87.45645
"Araria PS Arariya",0,0,26.129979,87.45645
"Araria PS Arariya",1,0,26.129979,87.45645
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Bausi PS Arariya",0,0,25.991745,87.356809
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Jokihat Ps Arariya",1,0,26.139316,87.612514
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Palasi PS Arariya",0,0,26.238863,87.564661
"Palasi PS Arariya",0,0,26.238863,87.564661
"Palasi PS Arariya",0,0,26.238863,87.564661
"Raniganj PS Arariya",1,0,26.081666,87.23829
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Palasi PS Arariya",0,0,26.238863,87.564661
"Bhargama PS Arariya",0,0,26.054822,87.121237
"SC/ST PS Arariya",0,0,26.136523,87.466275
"Mahila PS Arariya",1,1,26.134085,87.464223
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Araria PS Arariya",0,0,26.129979,87.45645
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Tarabari PS Arariya",0,0,26.284812,87.448723
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Kursakanta PS Arariya",0,0,26.358193,87.444237
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Jokihat Ps Arariya",1,0,26.139316,87.612514
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"NA Arariya",0,0,26.148936,87.453711
"Bausi PS Arariya",0,0,25.991745,87.356809
"Palasi PS Arariya",0,0,26.238863,87.564661
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Mahila PS Arariya",0,1,26.134085,87.464223
"Mahila PS Arariya",1,1,26.134085,87.464223
"Jogbani PS Arariya",0,0,26.399217,87.259386
"Jokihat Ps Arariya",1,0,26.139316,87.612514
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Raniganj PS Arariya",0,0,26.081666,87.23829
"Mahila PS Arariya",1,1,26.134085,87.464223
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Sikti PS Arariya",1,0,26.362945,87.526658
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Bhargama PS Arariya",0,0,26.054822,87.121237
"Araria PS Arariya",0,0,26.129979,87.45645
"Narpatganj PS Arariya",0,0,26.336902,87.104373
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Araria PS Arariya",0,0,26.129979,87.45645
"Fulkaha PS Arariya",0,0,26.395232,87.13591
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Tarabari PS Arariya",0,0,26.284812,87.448723
"Sikti PS Arariya",0,0,26.362945,87.526658
"Jokihat Ps Arariya",0,0,26.139316,87.612514
"Araria PS Arariya",0,0,26.129979,87.45645
"Jokihat Ps Arariya",1,0,26.139316,87.612514
"Araria PS Arariya",0,0,26.129979,87.45645
"Forbesganj PS Arariya",0,0,26.301812,87.261871
"Fulkaha PS Arariya",0,0,26.395232,87.13591
