"district","station","system","Month_Yr","locs","ps_loc_1","ps_loc_2"
"AMBALA","AMBALA CITY",2016-08-21,"2016-08","AMBALA CITY AMBALA",30.37966,76.778161
"AMBALA","AMBALA CITY",2016-10-12,"2016-10","AMBALA CITY AMBALA",30.37966,76.778161
"AMBALA","AMBALA CITY",2016-11-25,"2016-11","AMBALA CITY AMBALA",30.37966,76.778161
"AMBALA","AMBALA CITY",2016-12-17,"2016-12","AMBALA CITY AMBALA",30.37966,76.778161
"AMBALA","AMBALA CITY",2016-12-31,"2016-12","AMBALA CITY AMBALA",30.37966,76.778161
"AMBALA","AMBALA CITY",2017-01-27,"2017-01","AMBALA CITY AMBALA",30.37966,76.778161
"AMBALA","AMBALA CITY",2017-07-14,"2017-07","AMBALA CITY AMBALA",30.37966,76.778161
"AMBALA","AMBALA SADAR",2015-01-27,"2015-01","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-03-23,"2015-03","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-05-26,"2015-05","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-05-26,"2015-05","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-06-09,"2015-06","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-06-20,"2015-06","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-06-29,"2015-06","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-07-04,"2015-07","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-08-04,"2015-08","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-08-11,"2015-08","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-08-14,"2015-08","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-08-25,"2015-08","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-09-27,"2015-09","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2015-11-23,"2015-11","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2016-02-27,"2016-02","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2016-03-12,"2016-03","AMBALA SADAR AMBALA",30.373763,76.764332
