"system","count"
2015-12-21,231
2015-12-22,224
2015-12-23,223
2015-12-24,211
2015-12-25,260
2015-12-26,217
2015-12-27,186
2015-12-28,220
2015-12-29,274
2015-12-30,258
2015-12-31,332
2016-01-01,274
2016-01-02,264
2016-01-03,226
2016-01-04,293
2016-01-05,256
2016-01-06,272
2016-01-07,249
2016-01-08,283
2016-01-09,173
2016-01-10,125
2016-01-11,236
2016-01-12,273
2016-01-13,228
2016-01-14,238
2016-01-15,206
2016-01-16,162
2016-01-17,110
2016-01-18,247
2016-01-19,285
2016-01-20,247
2016-01-21,247
2016-01-22,230
2016-01-23,160
2016-01-24,141
2016-01-25,209
2016-01-26,165
2016-01-27,219
2016-01-28,166
2016-01-29,279
2016-01-30,249
2016-01-31,202
2016-02-01,266
2016-02-02,246
2016-02-03,298
2016-02-04,282
2016-02-05,237
2016-02-06,306
2016-02-07,234
2016-02-08,284
2016-02-09,267
2016-02-10,283
2016-02-11,272
2016-02-12,238
2016-02-13,252
2016-02-14,209
2016-02-15,290
2016-02-16,249
2016-02-17,228
2016-02-18,194
2016-02-19,158
2016-02-20,197
2016-02-21,164
2016-02-22,243
2016-02-23,272
2016-02-24,269
2016-02-25,297
2016-02-26,252
2016-02-27,276
2016-02-28,252
2016-02-29,299
2016-03-01,335
2016-03-02,288
2016-03-03,276
2016-03-04,265
2016-03-05,204
2016-03-06,204
2016-03-07,215
2016-03-08,276
2016-03-09,275
2016-03-10,278
2016-03-11,233
2016-03-12,231
2016-03-13,254
2016-03-14,286
2016-03-15,252
2016-03-16,268
2016-03-17,289
2016-03-18,288
2016-03-19,254
2016-03-20,208
2016-03-21,325
2016-03-22,350
2016-03-23,258
2016-03-24,146
2016-03-25,302
2016-03-26,253
2016-03-27,223
2016-03-28,287
2016-03-29,305
2016-03-30,289
2016-03-31,339
2016-04-01,328
2016-04-02,283
2016-04-03,240
2016-04-04,261
2016-04-05,273
2016-04-06,260
2016-04-07,250
2016-04-08,253
2016-04-09,246
2016-04-10,218
2016-04-11,250
2016-04-12,241
2016-04-13,241
2016-04-14,227
2016-04-15,261
2016-04-16,233
2016-04-17,214
2016-04-18,278
2016-04-19,326
2016-04-20,371
2016-04-21,300
2016-04-22,267
2016-04-23,270
2016-04-24,305
2016-04-25,362
2016-04-26,340
2016-04-27,272
2016-04-28,295
2016-04-29,276
2016-04-30,269
2016-05-01,250
2016-05-02,326
2016-05-03,347
2016-05-04,365
2016-05-05,309
2016-05-06,399
2016-05-07,350
2016-05-08,278
2016-05-09,289
2016-05-10,268
2016-05-11,327
2016-05-12,336
2016-05-13,314
2016-05-14,323
2016-05-15,263
2016-05-16,316
2016-05-17,290
2016-05-18,319
2016-05-19,284
2016-05-20,307
2016-05-21,242
2016-05-22,224
2016-05-23,200
2016-05-24,282
2016-05-25,292
2016-05-26,302
2016-05-27,300
2016-05-28,257
2016-05-29,215
2016-05-30,308
2016-05-31,293
2016-06-01,290
2016-06-02,284
2016-06-03,282
2016-06-04,265
2016-06-05,233
2016-06-06,297
2016-06-07,338
2016-06-08,330
2016-06-09,346
2016-06-10,356
2016-06-11,413
2016-06-12,297
2016-06-13,324
2016-06-14,381
2016-06-15,344
2016-06-16,328
2016-06-17,338
2016-06-18,278
2016-06-19,260
2016-06-20,279
2016-06-21,311
2016-06-22,308
2016-06-23,295
2016-06-24,328
2016-06-25,315
2016-06-26,284
2016-06-27,327
2016-06-28,283
2016-06-29,262
2016-06-30,255
2016-07-01,316
2016-07-02,246
2016-07-03,248
2016-07-04,323
2016-07-05,286
2016-07-06,304
2016-07-07,281
2016-07-08,269
2016-07-09,347
2016-07-10,332
2016-07-11,299
2016-07-12,338
2016-07-13,357
2016-07-14,327
2016-07-15,312
2016-07-16,304
2016-07-17,229
2016-07-18,317
2016-07-19,303
2016-07-20,353
2016-07-21,338
2016-07-22,328
2016-07-23,372
2016-07-24,271
2016-07-25,305
2016-07-26,317
2016-07-27,351
2016-07-28,294
2016-07-29,286
2016-07-30,258
2016-07-31,285
2016-08-01,247
2016-08-02,295
2016-08-03,330
2016-08-04,304
2016-08-05,275
2016-08-06,346
2016-08-07,275
2016-08-08,383
2016-08-09,318
2016-08-10,328
2016-08-11,260
2016-08-12,276
2016-08-13,286
2016-08-14,266
2016-08-15,212
2016-08-16,259
2016-08-17,292
2016-08-18,289
2016-08-19,263
2016-08-20,309
2016-08-21,260
2016-08-22,123
2016-08-23,389
2016-08-24,322
2016-08-25,242
2016-08-26,288
2016-08-27,284
2016-08-28,285
2016-08-29,311
2016-08-30,354
2016-08-31,299
2016-09-01,321
2016-09-02,304
2016-09-03,280
2016-09-04,294
2016-09-05,307
2016-09-06,311
2016-09-07,322
2016-09-08,317
2016-09-09,303
2016-09-10,353
2016-09-11,293
2016-09-12,313
2016-09-13,296
2016-09-14,335
2016-09-15,314
2016-09-16,314
2016-09-17,328
2016-09-18,285
2016-09-19,353
2016-09-20,294
2016-09-21,355
2016-09-22,337
2016-09-23,295
2016-09-24,315
2016-09-25,310
2016-09-26,355
2016-09-27,428
2016-09-28,396
2016-09-29,414
2016-09-30,377
2016-10-01,316
2016-10-02,276
2016-10-03,284
2016-10-04,334
2016-10-05,327
2016-10-06,357
2016-10-07,326
2016-10-08,282
2016-10-09,359
2016-10-10,400
2016-10-11,308
2016-10-12,372
2016-10-13,366
2016-10-14,324
2016-10-15,334
2016-10-16,299
2016-10-17,354
2016-10-18,343
2016-10-19,278
2016-10-20,321
2016-10-21,332
2016-10-22,306
2016-10-23,265
2016-10-24,258
2016-10-25,344
2016-10-26,357
2016-10-27,335
2016-10-28,267
2016-10-29,242
2016-10-30,139
2016-10-31,222
2016-11-01,247
2016-11-02,300
2016-11-03,313
2016-11-04,338
2016-11-05,376
2016-11-06,319
2016-11-07,341
2016-11-08,391
2016-11-09,371
2016-11-10,246
2016-11-11,226
2016-11-12,242
2016-11-13,301
2016-11-14,314
2016-11-15,279
2016-11-16,285
2016-11-17,299
2016-11-18,298
2016-11-19,250
2016-11-20,266
2016-11-21,295
2016-11-22,322
2016-11-23,320
2016-11-24,360
2016-11-25,294
2016-11-26,303
2016-11-27,238
2016-11-28,301
2016-11-29,321
2016-11-30,296
2016-12-01,247
2016-12-02,130
2016-12-03,371
2016-12-04,252
2016-12-05,303
2016-12-06,294
2016-12-07,270
2016-12-08,329
2016-12-09,275
2016-12-10,390
2016-12-11,298
2016-12-12,338
2016-12-13,308
2016-12-14,350
2016-12-15,374
2016-12-16,378
2016-12-17,285
2016-12-18,298
2016-12-19,349
2016-12-20,310
2016-12-21,337
2016-12-22,318
2016-12-23,366
2016-12-24,372
2016-12-25,268
2016-12-26,425
2016-12-27,363
2016-12-28,352
2016-12-29,508
2016-12-30,485
2016-12-31,530
2017-01-01,298
2017-01-02,326
2017-01-03,359
2017-01-04,360
2017-01-05,341
